timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"7c6421404ff3eea1a5726c27f00ab6e20cb131a1f0fc3f84c6ec68a682d05c2d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,16,right,left,neutral,false,t,1,0
"52651b8379f442a2a4c5a2627f0e3f1519d504ec043f1a0d5214d70cbd032a31 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,17,left,left,erotic,true,t,1,0
"ece13292c8d27104fb5c71a2e02212a75f980058df68110a74ee33b00a17b208 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,18,left,left,neutral,true,t,1,0
"3cbc5c8f64b8c70b71afc13480dad7ce1d32bd2a06db6a9e50eb01e43b2610b5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,19,left,left,neutral,true,t,1,0
"5f016f7dca85795d1d425f141086eaf009ec79d2b059127ab1c31db84f8c73df Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,20,left,right,erotic,false,t,1,0
"22b7aab095cabd77ffc9b38754d0bf898d85b8ffc4bbe46c068c18bb755447e0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,21,left,right,erotic,false,t,1,0
"9395ddcb89454e17bd56c415e9830d5ff1204c7493d0d04f8cc6ca2660e1716e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,22,left,left,erotic,true,t,1,0
"456f78e1cef70fc426dd1876acdba2eb071acde06de31eb2c21bbfdaebb091de Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,23,left,right,neutral,false,t,1,0
"9a5958b94a189ac302f2d22e55d7ae8b2a8d216b2e4e8c9a2316165ecc12bb60 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,24,right,left,erotic,false,t,1,0
"621d157a44c8490ff04668e0e7e2714261faecff1d425c6a2ad9bf69da02b752 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,25,left,right,neutral,false,t,1,0
