timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"a1df58a865f20e64c0795c1845fde254bf1057b7863836362e5083275bddb4c5 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,17,right,left,erotic,false,t,1,0
"eef54f376bca6e23966660f640bc5dfd6acbe0adda7965738d28ddccad3263b1 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,18,right,right,erotic,true,t,1,0
"2fa633f24b6fc762dbcfa6e031f91e6f0dea5f202dec29bfc64e2cfcd7f009d0 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,19,right,right,neutral,true,t,1,0
"79d45d829e7c6fa51e69f7f92ad77a7e9f1f46ee703bc65bb9b422bafeac8154 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,20,right,right,neutral,true,t,1,0
"50f32a9bb39b8eb4281c5075f023ac8781f98a68659992f6097be2e658d3c20e Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,21,right,right,neutral,true,t,1,0
"3e26223b7d912d0b42cd511d4aba06e80373d3df3fbec92cc55986e481a92744 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,22,right,left,erotic,false,t,1,0
"7c5913e87a190622e47573733afdbf15806417325232268a0582b0876b2fb103 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,23,right,right,erotic,true,t,1,0
"25e225e52c58cbb0a9b34318d44f15cc968e5098a0fac6cf7dadf9457eb5f75b Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,24,right,left,erotic,false,t,1,0
"3cca6a3b612060b7fb4d2bd30e5d08709b90ee9875ea6fb82f397f933462ac24 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,25,right,right,neutral,true,t,1,0
"6b71d9ac1ce35beb1268ba4ee2ee9f6a084f21fa2ad25f11573867e09393de17 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",b942f905-72c3-4597-a177-c078a9163e3f,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,0,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,0,online,yes,no,18-29,Male,yes,Probably does not,Don't know,Occasionally,between true and untrue,untrue,26,right,left,neutral,false,t,1,0
